package,package_version,layer_version_arn,time_to_live
scipy,1.4.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-scipy:10,
elasticsearch,7.5.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-elasticsearch:7,
construct,2.10.53,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-construct:2,
arrow,0.15.5,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-arrow:10,
bcrypt,3.1.7,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-bcrypt:6,
loguru,0.4.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-loguru:3,
google-auth,1.10.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-google-auth:11,
tablib,1.0.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-tablib:9,
graphene,2.1.8,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-graphene:6,
grpcio,1.26.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-grpcio:8,
tldextract,2.2.2,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-tldextract:9,
google-auth-oauthlib,0.4.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-google-auth-oauthlib:17,
PyNaCl,1.3.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-PyNaCl:6,
nltk,3.4.5,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-nltk:4,
pyOpenSSL,19.1.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-pyOpenSSL:9,
boto3,1.11.5,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-boto3:26,
aws-xray-sdk,2.4.3,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-aws-xray-sdk:25,
pyqldb,1.0.0rc2,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-pyqldb:13,
pandas,0.25.3,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-pandas:13,
spacy,2.2.3,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-spacy:16,
ansible,2.9.3,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-ansible:14,
aiodns,2.0.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-aiodns:8,
aiobotocore,0.12.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-aiobotocore:25,06-05-2020
aiobotocore,1.0.2,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-aiobotocore:26,13-05-2020
aiobotocore,1.0.3,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-aiobotocore:27,20-05-2020
aiobotocore,1.0.4,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-aiobotocore:28,27-05-2020
aiobotocore,1.0.4,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-aiobotocore:29,
