package,package_version,layer_version_arn,time_to_live
PyJWT,1.7.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-PyJWT:1,
idna,2.8,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-idna:1,
pyparsing,2.4.1.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-pyparsing:1,
PyYAML,5.1.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-PyYAML:1,
google-auth,1.6.3,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-google-auth:1,
itsdangerous,1.1.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-itsdangerous:1,
pytz,2019.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-pytz:1,
google-auth-oauthlib,0.4.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-google-auth-oauthlib:1,
flashtext,2.7,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-flashtext:1,
arrow,0.14.2,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-arrow:1,
PyMySQL,0.9.3,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-PyMySQL:1,
envelopes,0.4,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-envelopes:1,
jsonrpclib,0.1.7,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-jsonrpclib:1,
pickleDB,0.9.2,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-pickleDB:1,
python-Levenshtein-wheels,0.13.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-python-Levenshtein-wheels:1,
jellyfish,0.7.2,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-jellyfish:1,
openssl,1.1.1c,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-openssl:1,
kafka-python,1.4.7,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-kafka-python:2,
pytz,2019.3,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-pytz:3,
Cerberus,1.3.2,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-Cerberus:2,
ffmpeg-python,0.2.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-ffmpeg-python:4,
textdistance,4.1.5,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-textdistance:1,
ldap3,2.6.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-ldap3:4,
simplejson,3.17.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-simplejson:2,
gspread,3.1.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-gspread:6,
requests,2.22.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-requests:6,
python-docx,0.8.10,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-python-docx:3,
grequests,0.4.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-grequests:6,
tinydb,3.15.2,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-tinydb:5,
PyMUPDF,1.16.10,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-PyMUPDF:13,
SQLAlchemy,1.3.12,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-SQLAlchemy:7,
beautifulsoup4,4.8.2,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-beautifulsoup4:6,
pyparsing,2.4.6,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-pyparsing:4,
pulp,2.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-pulp:4,
Pillow,7.0.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-Pillow:4,
pytesseract,0.3.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-pytesseract:7,
boltons,20.0.0,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-boltons:4,
aiohttp,3.6.2,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-aiohttp:13,
pymongo,3.10.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-pymongo:4,
PyYAML,5.3,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-PyYAML:4,
openpyxl,3.0.3,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-openpyxl:6,
numpy,1.18.1,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-numpy:7,
opencv-python-headless,4.1.2.30,arn:aws:lambda:us-west-2:113088814899:layer:pylayers--python37-dev-opencv-python-headless:8,
