package,package_version,layer_version_arn,time_to_live
PyJWT,1.7.1,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-PyJWT:1,
google-auth,1.6.3,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-google-auth:1,
idna,2.8,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-idna:1,
itsdangerous,1.1.0,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-itsdangerous:1,
pyparsing,2.4.1.1,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-pyparsing:1,
PyYAML,5.1.1,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-PyYAML:1,
construct,2.9.45,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-construct:1,19-02-2020
google-auth-oauthlib,0.4.0,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-google-auth-oauthlib:1,
pytz,2019.1,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-pytz:1,
arrow,0.14.2,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-arrow:1,
flashtext,2.7,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-flashtext:1,
pymupdf,1.14.19,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-pymupdf:1,
python-Levenshtein-wheels,0.13.1,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-python-Levenshtein-wheels:1,
envelopes,0.4,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-envelopes:1,
pickleDB,0.9.2,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-pickleDB:1,
PyMySQL,0.9.3,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-PyMySQL:1,
tinyDB,3.13.0,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-tinyDB:1,
pymysql,0.9.3,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-pymysql:1,
aiobotocore,0.10.3,arn:aws:lambda:us-east-1:113088814899:layer:pylayers--python37-dev-aiobotocore:1,
